Name,aphia,scientificname,proposedaphia,comment
Orbulina,112203,Orbulina,NA,NA
Orbulina sp.,112203,Orbulina,NA,NA
Orbulina spp.,112203,Orbulina,NA,NA
"Orbulina spp., δ13C",112203,Orbulina,NA,NA
"Orbulina spp., δ18O",112203,Orbulina,NA,NA
Turborotalita sp.,112204,Turborotalita,NA,NA
Turborotalita spp.,112204,Turborotalita,NA,NA
Globigerinita sp.,112206,Globigerinita,NA,NA
Globigerinita spp.,112206,Globigerinita,NA,NA
"Globigerinita, juvenile",112206,Globigerinita,NA,NA
Hastigerina sp.,112209,Hastigerina,NA,NA
Hastigerina spp.,112209,Hastigerina,NA,NA
Rupertia sp.,112212,Rupertia,NA,NA
Lagena sp.,112215,Lagena,NA,NA
Lagena spp.,112215,Lagena,NA,NA
Lagena ssp.,112215,Lagena,NA,NA
Dentalina sp.,112217,Dentalina,NA,NA
Dentalina spp.,112217,Dentalina,NA,NA
Marginulina sp.,112221,Marginulina,NA,NA
Marginulina spp.,112221,Marginulina,NA,NA
Nodosaria sp.,112223,Nodosaria,NA,NA
Nodosaria spp.,112223,Nodosaria,NA,NA
Astrononion sp.,112226,Astrononion,NA,NA
Chilostomella sp.,112227,Chilostomella,NA,NA
Chilostomella spp.,112227,Chilostomella,NA,NA
Hanzawaia sp.,112229,Florilus,NA,NA
Melonis sp.,112230,Melonis,NA,NA
Nonion sp.,112232,Nonion,NA,NA
Nonion spp.,112232,Nonion,NA,NA
Nonionella sp.,112233,Nonionella,NA,NA
Nonionella spp.,112233,Nonionella,NA,NA
Heterostegina sp.,112238,Heterostegina,NA,NA
Patellina sp.,112240,Patellina,NA,NA
Frondicularia sp.,112247,Frondicularia,NA,NA
Pleurostomella sp.,112248,Pleurostomella,NA,NA
Pleurostomella spp.,112248,Pleurostomella,NA,NA
Globulina sp.,112250,Globulina,NA,NA
Globulina spp.,112250,Globulina,NA,NA
Guttulina sp.,112251,Guttulina,NA,NA
Guttulina spp.,112251,Guttulina,NA,NA
Polymorphina sp.,112254,Polymorphina,NA,NA
Pseudopolymorphina sp.,112255,Pseudopolymorphina,NA,NA
Reussella spp.,112257,Reussella,NA,NA
Robertina sp.,112259,Robertina,NA,NA
Robertina spp.,112259,Robertina,NA,NA
Robertinoides sp.,112260,Robertinoides,NA,NA
Robertinoides spp.,112260,Robertinoides,NA,NA
Neoconorbina sp.,112261,Neoconorbina,NA,NA
Siphonina spp.,112272,Siphonina,NA,NA
Spirillina sp.,112273,Spirillina,NA,NA
Spirillina spp.,112273,Spirillina,NA,NA
Angulogerina sp.,112278,Angulogerina,NA,NA
Angulogerina spp.,112278,Angulogerina,NA,NA
Rectuvigerina sp.,112279,Rectuvigerina,NA,NA
Uvigerina sp.,112281,Uvigerina,NA,NA
"Uvigerina sp., δ13C",112281,Uvigerina,NA,NA
"Uvigerina sp., δ18O",112281,Uvigerina,NA,NA
Uvigerina spp.,112281,Uvigerina,NA,NA
Astacolus sp.,112283,Astacolus,NA,NA
Lenticulina sp.,112287,Robulus,NA,NA
Lenticulina spp.,112287,Robulus,NA,NA
Lenticulina ssp.,112287,Robulus,NA,NA
Robulus sp.,112287,Robulus,NA,NA
Saracenaria sp.,112288,Saracenaria,NA,NA
Vaginulina sp.,112289,Vaginulina,NA,NA
Vaginulina spp.,112289,Vaginulina,NA,NA
Ammodiscus sp.,112290,Ammodiscus,NA,NA
Ammodiscus spp.,112290,Ammodiscus,NA,NA
Ammodiscus ssp.,112290,Ammodiscus,NA,NA
Glomospira sp.,112292,Glomospira,NA,NA
Turritellella sp.,112296,Turritellella,NA,NA
Adercotryma sp.,112297,Adercotryma,NA,NA
Astrorhiza sp.,112299,Astrorhiza,NA,NA
Bathysiphon sp.,112300,Bathysiphon,NA,NA
Bathysiphon spp.,112300,Bathysiphon,NA,NA
Bigenerina sp.,112301,Bigenerina,NA,NA
Hippocrepina sp.,112305,Hippocrepina,NA,NA
Marsipella sp.,112309,Marsipella,NA,NA
Psammatodendron sp.,112313,Psammatodendron,NA,NA
Rhabdammina spp.,112315,Rhabdammina,NA,NA
Rhizammina sp.,112316,Rhizammina,NA,NA
Rhizammina spp.,112316,Rhizammina,NA,NA
Martinottiella sp.,112320,Martinottiella,NA,NA
Proteonina sp.,112324,Proteonina,NA,NA
Reophax sp.,112324,Proteonina,NA,NA
Reophax spp.,112324,Proteonina,NA,NA
Eggerella sp.,112325,Eggerella,NA,NA
Eggerella spp.,112325,Eggerella,NA,NA
Eggerelloides sp.,112326,Eggerelloides,NA,NA
Karreriella sp.,112327,Karreriella,NA,NA
Haplophragmoides sp.,112330,Haplophragmoides,NA,NA
Haplophragmoides spp.,112330,Haplophragmoides,NA,NA
Hyperammina sp.,112333,Hyperammina,NA,NA
Hyperammina spp.,112333,Hyperammina,NA,NA
Hormosina sp.,112336,Hormosina,NA,NA
Hormosinella sp.,112337,Hormosinella,NA,NA
Hormosinella spp.,112337,Hormosinella,NA,NA
Subreophax spp.,112343,Subreophax,NA,NA
Ammobaculites sp.,112345,Ammobaculites,NA,NA
Cribrostomoides sp.,112347,Cribrostomoides,NA,NA
Cyclammina sp.,112348,Cyclammina,NA,NA
Cyclammina spp.,112348,Cyclammina,NA,NA
Recurvoides sp.,112352,Recurvoides,NA,NA
Lituotuba sp.,112353,Lituotuba,NA,NA
Lituotuba spp.,112353,Lituotuba,NA,NA
Pseudoclavulina spp.,112355,Pseudoclavulina,NA,NA
Miliammina spp.,112356,Miliammina,NA,NA
Lagenammina sp.,112364,Lagenammina,NA,NA
Lagenammina spp.,112364,Lagenammina,NA,NA
Psammosphaera sp.,112369,Psammosphaera,NA,NA
Saccammina sp.,112373,Saccammina,NA,NA
Saccodendron sp.,112374,Saccodendron,NA,NA
Sorosphaera sp.,112375,Sorosphaera,NA,NA
Technitella sp.,112377,Technitella,NA,NA
Spiroplectammina sp.,112385,Spiroplectammina,NA,NA
Siphotextularia sp.,112392,Siphotextularia,NA,NA
Textularia sp.,112394,Textularia,NA,NA
Textularia spp.,112394,Textularia,NA,NA
Vulvulina sp.,112395,Vulvulina,NA,NA
Ammoglobigerina sp.,112399,Ammoglobigerina,NA,NA
Portatrochammina spp.,112407,Portatrochammina,NA,NA
Tritaxis sp.,112411,Tritaxis,NA,NA
Trochammina sp.,112412,Trochammina,NA,NA
Trochammina spp.,112412,Trochammina,NA,NA
Valvulina sp.,112414,Valvulina,NA,NA
Dorothia sp.,112416,Dorothia,NA,NA
Gaudryina sp.,112417,Gaudryina,NA,NA
Gaudryina spp.,112417,Gaudryina,NA,NA
Placopsilina bradyi,112437,Placopsilina bradyi,NA,NA
Cornuspira involvens,112488,Cornuspira involvens,NA,NA
Cornuspira planorbis,112489,Cornuspira planorbis,NA,NA
Cornuspirella diffusa,112490,Cornuspirella diffusa,NA,NA
Articulina tubulosa,112500,Articulina tubulosa,NA,NA
Biloculinella depressa,112506,Biloculinella depressa,NA,NA
Pyrgo depressa,112506,Biloculinella depressa,NA,NA
Biloculinella inflata,112509,Biloculinella inflata,NA,NA
Biloculinella labiata,112511,Biloculinella labiata,NA,NA
Miliolinella elongata,112556,Miliolinella elongata,NA,NA
Miliolinella cf. oblonga,112560,Miliolinella oblonga,NA,NA
Triloculina oblonga,112560,Miliolinella oblonga,NA,NA
Pyrgoella irregularis,112569,Nummoloculina irregularis,NA,NA
Miliolinella subrotunda,112571,Pateoris hauerinoides,NA,NA
Pateoris hauerinoides,112571,Pateoris hauerinoides,NA,NA
Planispirinoides bucculentus,112572,Planispirinoides bucculentus,NA,NA
Ptychomiliola separans,112580,Ptychomiliola separans,NA,NA
Pyrgo anomala,112581,Pyrgo anomala,NA,NA
Pyrgo comata,112586,Pyrgo comata,NA,NA
Pyrgo elongata,112588,Pyrgo elongata,NA,NA
Pyrgo cf. fornasinii,112589,Pyrgo fornasinii,NA,NA
Pyrgo fornasinii,112589,Pyrgo fornasinii,NA,NA
Pyrgo inornata,112590,Pyrgo inornata,NA,NA
Pyrgo lucernula,112592,Pyrgo lucernula,NA,NA
Pyrgo murrhina,112593,Pyrgo murrhina,NA,NA
Pyrgo oblonga,112594,Pyrgo oblonga,NA,NA
Pyrgo patagonica,112595,Pyrgo patagonica,NA,NA
Pyrgo ringens,112597,Pyrgo ringens,NA,NA
Pyrgo simplex,112599,Pyrgo simplex,NA,NA
Pyrgo subsphaerica,112601,Pyrgo subsphaerica,NA,NA
Pyrgo cf. vespertilio,112602,Pyrgo vespertilio,NA,NA
Pyrgo vespertilio,112602,Pyrgo vespertilio,NA,NA
Pyrgo williamsoni,112603,Pyrgo williamsoni,NA,NA
Pyrgoella sphaera,112605,Pyrgoella sphaera,NA,NA
Pyrulina cylindroides,112606,Pyrulina cylindroides,NA,NA
Quinqueloculina akneriana,112608,Quinqueloculina akneriana,NA,NA
Quinqueloculina auberiana,112615,Quinqueloculina auberiana,NA,NA
Quinqueloculina disparilis,112631,Quinqueloculina disparilis,NA,NA
Quinqueloculina elongata,112634,Quinqueloculina elongata,NA,NA
Quinqueloculina laevigata,112642,Quinqueloculina laevigata,NA,NA
Quinqueloculina cf. lamarckiana,112643,Quinqueloculina lamarckiana,NA,NA
Quinqueloculina lamarckiana,112643,Quinqueloculina lamarckiana,NA,NA
Quinqueloculina oblonga,112653,Quinqueloculina oblonga,NA,NA
Quinqueloculina pygmaea,112668,Quinqueloculina pygmaea,NA,NA
Quinqueloculina seminulum,112674,Quinqueloculina seminula,NA,NA
Quinqueloculina stalkeri,112678,Quinqueloculina stalkeri,NA,NA
Quinqueloculina subrotunda,112681,Quinqueloculina subrotunda,NA,NA
Quinqueloculina ungeriana,112686,Quinqueloculina ungeriana,NA,NA
Quinqueloculina cf. venusta,112688,Quinqueloculina venusta,NA,NA
Quinqueloculina venusta,112688,Quinqueloculina venusta,NA,NA
Quinqueloculina cf. vulgaris,112690,Quinqueloculina vulgaris,NA,NA
Quinqueloculina vulgaris,112690,Quinqueloculina vulgaris,NA,NA
Sigmoilina distorta,112694,Sigmoilina distorta,NA,NA
Sigmoilina schlumbergeri,112696,Sigmoilina schlumbergeri,NA,NA
Sigmoilina tenuis,112698,Sigmoilina tenuis,NA,NA
Sigmoilopsis schlumbergeri,112704,Sigmoilopsis schlumbergeri,NA,NA
Spiroloculina communis,112720,Spiroloculina communis,NA,NA
Spiroloculina cf. excavata,112726,Spiroloculina excavata,NA,NA
Spiroloculina excavata,112726,Spiroloculina excavata,NA,NA
Spiroloculina rotunda,112741,Spiroloculina rotunda,NA,NA
Triloculina frigida,112754,Triloculina frigida,NA,NA
Triloculina gibba,112755,Triloculina gibba,NA,NA
Triloculina rotunda,112768,Triloculina rotunda,NA,NA
Triloculina cf. tricarinata,112771,Triloculina tricarinata,NA,NA
Triloculina tricarinata,112771,Triloculina tricarinata,NA,NA
Triloculina trigonula,112772,Triloculina trigonula,NA,NA
Spirophthalmidium acutimargo,112788,Spirophthalmidium acutimargo,NA,NA
Sphaerogypsina globula,112830,Sphaerogypsina globula,NA,NA
Osangularia culter,112841,Osangularia culter,NA,NA
Ammonia batava,112847,Ammonia batava,NA,NA
Ammonia beccarii,112849,Ammonia beccarii,NA,NA
Ammonia tepida,112857,Ammonia tepida,NA,NA
Anomalina globulosa,112867,Anomalina globulosa,NA,NA
Cibicides fletcheri,112871,Cibicides fletcheri,NA,NA
Cibicides kullenbergi,112873,Cibicides kullenbergi,NA,NA
Cibicides cf. lobatulus,112874,Cibicides lobatulus,NA,NA
Cibicides lobatulus,112874,Cibicides lobatulus,NA,NA
"Cibicides lobatulus, δ13C",112874,Cibicides lobatulus,NA,NA
"Cibicides lobatulus, δ13C standard deviation",112874,Cibicides lobatulus,NA,NA
"Cibicides lobatulus, δ18O",112874,Cibicides lobatulus,NA,NA
"Cibicides lobatulus, δ18O standard deviation",112874,Cibicides lobatulus,NA,NA
Cibicides praecinctus,112875,Cibicides praecinctus,NA,NA
Cibicides pseudoungerianus,112876,Cibicides pseudoungerianus,NA,NA
Cibicides refulgens,112877,Cibicides refulgens,NA,NA
Cibicides ungerianus,112878,Cibicides ungerianus,NA,NA
Cibicidoides kullenbergi,112883,Cibicidoides kullenbergi,NA,NA
Cibicidoides pachyderma,112884,Cibicidoides pachyderma,NA,NA
Cibicidoides robertsonianus,112887,Cibicidoides robertsonianus,NA,NA
Cibicidoides ungerianus,112889,Cibicidoides ungerianus,NA,NA
Cibicidoides wuellerstorfi,112890,Cibicidoides wuellerstorfi,NA,NA
"Cibicidoides wuellerstorfi, δ13C",112890,Cibicidoides wuellerstorfi,NA,NA
"Cibicidoides wuellerstorfi, δ18O",112890,Cibicidoides wuellerstorfi,NA,NA
Gyroidina altiformis,112894,Gyroidina altiformis,NA,NA
Gyroidina cf. lamarckiana,112896,Gyroidina lamarckiana,NA,NA
Gyroidina lamarckiana,112896,Gyroidina lamarckiana,NA,NA
Gyroidina neosoldanii,112898,Gyroidina neosoldanii,NA,NA
Gyroidina cf. orbicularis,112899,Gyroidina orbicularis,NA,NA
Gyroidina orbicularis,112899,Gyroidina orbicularis,NA,NA
Gyroidina soldanii,112901,Gyroidina soldanii,NA,NA
Gyroidina zelandica,112903,Gyroidina zelandica,NA,NA
Planulina ariminensis,112918,Planulina ariminensis,NA,NA
Planulina wuellerstorfi,112919,Planulina wuellerstorfi,NA,NA
"Planulina wuellerstorfi, δ13C",112919,Planulina wuellerstorfi,NA,NA
"Planulina wuellerstorfi, δ18O",112919,Planulina wuellerstorfi,NA,NA
Asterigerinata mamilla,112933,Asterigerinata mamilla,NA,NA
Cancris auriculus,112940,Cancris auriculus,NA,NA
Valvulineria araucana,112958,Valvulineria araucana,NA,NA
Valvulineria bradyana,112960,Valvulineria bradyana,NA,NA
Valvulineria laevigata,112962,Valvulineria laevigata,NA,NA
Bolivina alata,112964,Bolivina alata,NA,NA
Bolivina arctica,112966,Bolivina arctica,NA,NA
Bolivina pacifica,112979,Bolivina pacifica,NA,NA
Bolivina plicata,112981,Bolivina plicata,NA,NA
Bolivina pseudoplicata,112982,Bolivina pseudoplicata,NA,NA
Bolivina pseudopunctata,112983,Bolivina pseudopunctata,NA,NA
Bolivina pygmaea,112985,Bolivina pygmaea,NA,NA
Bolivina spathulata,112988,Bolivina spathulata,NA,NA
Bolivina striatula,112989,Bolivina striatula,NA,NA
Bolivina tortuosa,112997,Bolivina tortuosa,NA,NA
Bolivina variabilis,112998,Bolivina variabilis,NA,NA
Bolivinellina pseudopunctata,112999,Bolivinellina pseudopunctata,NA,NA
Brizalina alata,113000,Brizalina alata,NA,NA
Brizalina difformis,113002,Brizalina difformis,NA,NA
Brizalina subaenariensis,113011,Brizalina subaenariensis,NA,NA
Orthomorphina challengeriana,113018,Orthomorphina challengeriana,NA,NA
Stilostomella antillea,113021,Stilostomella antillea,NA,NA
Stilostomella consobrina,113022,Stilostomella consobrina,NA,NA
Stilostomella fistuca,113023,Stilostomella fistuca,NA,NA
Bulimina aculeata,113030,Bulimina aculeata,NA,NA
Bulimina alazanensis,113032,Bulimina alazanensis,NA,NA
Bulimina costata,113034,Bulimina costata,NA,NA
Bulimina elegans,113035,Bulimina elegans,NA,NA
Bulimina elongata,113037,Bulimina elongata,NA,NA
Bulimina gibba,113040,Bulimina gibba,NA,NA
Bulimina marginata,113042,Bulimina marginata,NA,NA
Bulimina pupoides,113044,Bulimina pupoides,NA,NA
Bulimina pyrula,113045,Bulimina pyrula,NA,NA
Bulimina striata,113047,Bulimina striata,NA,NA
Bulimina subornata,113049,Bulimina subornata,NA,NA
Fursenkoina rotundata,113057,Fursenkoina rotundata,NA,NA
Globobulimina affinis,113060,Globobulimina affinis,NA,NA
Globobulimina turgida,113062,Globobulimina turgida,NA,NA
Pseudobolivina antarctica,113065,Pseudobolivina antarctica,NA,NA
Stainforthia complanata,113068,Stainforthia complanata,NA,NA
Stainforthia concava,113069,Stainforthia concava,NA,NA
Stainforthia fusiformis,113070,Stainforthia fusiformis,NA,NA
Stainforthia loeblichi,113071,Stainforthia loeblichi,NA,NA
Cassidulina crassa,113075,Cassidulina crassa,NA,NA
Cassidulina islandica,113076,Cassidulina islandica,NA,NA
Cassidulina laevigata,113077,Cassidulina laevigata,NA,NA
Cassidulina minuta,113078,Cassidulina minuta,NA,NA
Cassidulina neocarinata,113079,Cassidulina neocarinata,NA,NA
Cassidulina norcrossi,113080,Cassidulina norcrossi,NA,NA
Cassidulina obtusa,113082,Cassidulina obtusa,NA,NA
Cassidulina reniforme,113083,Cassidulina reniforme,NA,NA
Cassidulina subglobosa,113084,Cassidulina subglobosa,NA,NA
Cassidulina teretis,113085,Cassidulina teretis,NA,NA
"Cassidulina teretis, δ13C",113085,Cassidulina teretis,NA,NA
"Cassidulina teretis, δ18O",113085,Cassidulina teretis,NA,NA
Cassidulinoides bradyi,113086,Cassidulinoides bradyi,NA,NA
Ehrenbergina trigona,113089,Ehrenbergina trigona,NA,NA
Globocassidulina cf. subglobosa,113091,Globocassidulina subglobosa,NA,NA
Globocassidulina subglobosa,113091,Globocassidulina subglobosa,NA,NA
Islandiella helenae,113093,Islandiella helenae,NA,NA
Islandiella islandica,113094,Islandiella islandica,NA,NA
Islandiella norcrossi,113095,Islandiella norcrossi,NA,NA
Islandiella teretis,113096,Islandiella teretis,NA,NA
Sphaeroidina bulloides,113099,Sphaeroidina bulloides,NA,NA
Pullenia bulloides,113110,Pullenia bulloides,NA,NA
Pullenia osloensis,113111,Pullenia osloensis,NA,NA
Pullenia quinqueloba,113112,Pullenia quinqueloba,NA,NA
Pullenia salisburyi,113113,Pullenia salisburyi,NA,NA
Pullenia sphaeroides,113114,Pullenia sphaeroides,NA,NA
Pullenia cf. subcarinata,113115,Pullenia subcarinata,NA,NA
Pullenia subcarinata,113115,Pullenia subcarinata,NA,NA
Fontbotia wuellerstorfi,113117,Fontbotia wuellerstorfi,NA,NA
Lobatula lobatula,113118,Lobatula lobatula,NA,NA
Buccella cf. frigida,113136,Buccella frigida,NA,NA
Buccella frigida,113136,Buccella frigida,NA,NA
Buccella tenerrima,113139,Buccella tenerrima,NA,NA
Discorbinella bertheloti,113143,Discorbinella bertheloti,NA,NA
Gavelinopsis praegeri,113159,Gavelinopsis praegeri,NA,NA
Laticarinina halophora,113161,Laticarinina halophora,NA,NA
Laticarinina pauperata,113162,Laticarinina pauperata,NA,NA
Rosalina anomala,113166,Rosalina anomala,NA,NA
Rosalina bradyi,113167,Rosalina bradyi,NA,NA
Rosalina globularis,113171,Rosalina globularis,NA,NA
Rosalina macropora,113173,Rosalina macropora,NA,NA
Rosalina williamsoni,113182,Rosalina williamsoni,NA,NA
Hanzawaia concentrica,113186,Hanzawaia concentrica,NA,NA
Hanzawaia nitidula,113187,Hanzawaia nitidula,NA,NA
Favulina cf. hexagona,113193,Favulina hexagona,NA,NA
Favulina hexagona,113193,Favulina hexagona,NA,NA
Fissurina danica,113201,Fissurina danica,NA,NA
Fissurina fimbriata,113203,Fissurina fimbriata,NA,NA
Fissurina kerguelensis,113204,Fissurina kerguelensis,NA,NA
Fissurina laevigata,113205,Fissurina laevigata,NA,NA
Fissurina lucida,113206,Fissurina lucida,NA,NA
Fissurina marginata,113207,Fissurina marginata,NA,NA
Fissurina cf. orbignyana,113209,Fissurina orbignyana,NA,NA
Fissurina orbignyana,113209,Fissurina orbignyana,NA,NA
Fissurina cf. semimarginata,113211,Fissurina semimarginata,NA,NA
Fissurina semimarginata,113211,Fissurina semimarginata,NA,NA
Oolina ampulladistoma,113216,Oolina ampulladistoma,NA,NA
Oolina apiopleura,113217,Oolina apiopleura,NA,NA
Oolina globosa,113219,Oolina globosa,NA,NA
Oolina hexagona,113221,Oolina hexagona,NA,NA
Oolina lineata,113223,Oolina lineata,NA,NA
Oolina melo,113225,Oolina melo,NA,NA
Oolina williamsoni,113228,Oolina williamsoni,NA,NA
Parafissurina arctica,113230,Parafissurina arctica,NA,NA
Parafissurina fusiformis,113231,Parafissurina fusiformis,NA,NA
Parafissurina groenlandica,113233,Parafissurina groenlandica,NA,NA
Parafissurina lateralis,113234,Parafissurina lateralis,NA,NA
Parafissurina tectulostoma,113235,Parafissurina tectulostoma,NA,NA
Cribroelphidium incertum,113247,Cribrononion incertum,NA,NA
Cribrononion incertum,113247,Cribrononion incertum,NA,NA
Elphidium translucens,113249,Cribrononion translucens,NA,NA
Elphidium advenum,113254,Elphidium advenum,NA,NA
Elphidium albiumbilicatum,113255,Elphidium albiumbilicatum,NA,NA
Elphidium bartletti,113259,Elphidium bartletti,NA,NA
Elphidium clavatum,113260,Elphidium clavatum,NA,NA
Elphidium complanatum,113261,Elphidium complanatum,NA,NA
Elphidium crispum,113262,Elphidium crispum,NA,NA
Elphidium excavatum,113267,Elphidium excavatum,NA,NA
Elphidium gerthi,113268,Elphidium gerthi,NA,NA
Elphidium incertum,113271,Elphidium incertum,NA,NA
Elphidium macellum,113276,Elphidium macellum,NA,NA
Elphidium margaritaceum,113279,Elphidium margaritaceum,NA,NA
Elphidium subarcticum,113286,Elphidium subarcticum,NA,NA
Elphidium williamsoni,113291,Elphidium williamsoni,NA,NA
Haynesina cf. depressula,113293,Haynesina depressula,NA,NA
Haynesina depressula,113293,Haynesina depressula,NA,NA
Haynesina germanica,113294,Haynesina germanica,NA,NA
Eilohedra levicula,113331,Eilohedra levicula,NA,NA
Epistominella exigua,113334,Epistominella exigua,NA,NA
Epistominella naraensis,113337,Epistominella naraensis,NA,NA
Epistominella rugosa,113339,Epistominella rugosa,NA,NA
Epistominella vitrea,113340,Epistominella vitrea,NA,NA
Hoeglundina elegans,113341,Hoeglundina elegans,NA,NA
Mississippina concentrica,113342,Mississippina concentrica,NA,NA
Alabaminella weddellensis,113350,Alabaminella weddellensis,NA,NA
Eponides bradyi,113351,Eponides bradyi,NA,NA
Eponides repandus,113356,Eponides repandus,NA,NA
Eponides tenera,113357,Eponides tenera,NA,NA
Eponides cf. tumidulus,113359,Eponides tumidulus,NA,NA
Eponides tumidulus,113359,Eponides tumidulus,NA,NA
Eponides umbonatus,113361,Eponides umbonatus,NA,NA
Eponides aff. weddellensis,113362,Eponides weddellensis,NA,NA
Eponides cf. weddellensis,113362,Eponides weddellensis,NA,NA
Ioanella tumidula,113363,Ioanella tumidula,NA,NA
Oridorsalis tener,113381,Oridorsalis tenerus,NA,NA
Gyroidinoides neosoldanii,113414,Gyroidinoides neosoldanii,NA,NA
Gyroidinoides soldanii,113416,Gyroidinoides soldanii,NA,NA
Glandulina laevigata,113429,Glandulina laevigata,NA,NA
Beella cf. digitata,113433,Beella digitata,NA,NA
Beella digitata,113433,Beella digitata,NA,NA
"Beella digitata, shell, weight",113433,Beella digitata,NA,NA
"Beella digitata, shell, weight, standard deviation",113433,Beella digitata,NA,NA
"Accumulation rate, Globigerina bulloides",113434,Globigerina bulloides,NA,NA
Globigerina aff. bulloides,113434,Globigerina bulloides,NA,NA
Globigerina bulloides,113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Aluminium/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Aluminium/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Barium/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Barium/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Magnesium/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Magnesium/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Manganese/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Manganese/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, shell, weight",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, shell, weight, standard deviation",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, size average",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, size standard deviation",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Strontium/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Strontium/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Zinc/Calcium ratio",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, Zinc/Calcium ratio, error",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, δ13C",113434,Globigerina bulloides,NA,NA
"Globigerina bulloides, δ18O",113434,Globigerina bulloides,NA,NA
Globigerina cf. bulloides,113434,Globigerina bulloides,NA,NA
Globigerina digitata,113435,Globigerina digitata,NA,NA
Globigerina eggeri,113436,Globigerina eggeri,NA,NA
Globigerina inflata,113437,Globigerina inflata,NA,NA
Globigerina pachyderma,113438,Globigerina pachyderma,NA,NA
Globigerinella aequilateralis,113439,Globigerinella aequilateralis,NA,NA
Globigerinella siphonifera,113440,Globigerinella siphonifera,NA,NA
"Globigerinella siphonifera, shell, weight",113440,Globigerinella siphonifera,NA,NA
"Globigerinella siphonifera, shell, weight, standard deviation",113440,Globigerinella siphonifera,NA,NA
Globigerinoides cf. conglobatus,113441,Globigerinoides conglobatus,NA,NA
Globigerinoides conglobatus,113441,Globigerinoides conglobatus,NA,NA
"Globigerinoides conglobatus, shell, weight",113441,Globigerinoides conglobatus,NA,NA
"Globigerinoides conglobatus, δ13C",113441,Globigerinoides conglobatus,NA,NA
"Globigerinoides conglobatus, δ18O",113441,Globigerinoides conglobatus,NA,NA
Globigerinoides elongatus,113442,Globigerinoides elongata,NA,NA
"Globigerinoides elongatus, shell, weight",113442,Globigerinoides elongata,NA,NA
"Globigerinoides elongatus, shell, weight, standard deviation",113442,Globigerinoides elongata,NA,NA
Globigerinoides cf. ruber,113444,Globigerinoides ruber,NA,NA
Globigerinoides ex gr. ruber,113444,Globigerinoides ruber,NA,NA
Globigerinoides ruber,113444,Globigerinoides ruber,NA,NA
Globigerinoides ruber forma pyramidalis,113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Aluminium/Calcium ratio",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Aluminium/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Barium/Calcium ratio",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Barium/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Magnesium/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Manganese/Calcium ratio",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Manganese/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Strontium/Calcium ratio",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Strontium/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Zinc/Calcium ratio",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, Zinc/Calcium ratio, error",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, δ13C",113444,Globigerinoides ruber,NA,NA
"Globigerinoides ruber, δ18O",113444,Globigerinoides ruber,NA,NA
Globigerinoides sacculifer,113445,Globigerinoides sacculifer,NA,NA
Globigerinoides sacculifer wo sac,113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, area",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, area, standard deviation",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, density per area",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, density, standard deviation",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, weight",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, weight, standard deviation",113445,Globigerinoides sacculifer,NA,NA
"Globigerinoides sacculifer, δ13C",113445,Globigerinoides sacculifer,NA,NA
