Name,aphia,scientificname,proposedaphia,comment
Globorotalia tumida flexuosa,418114,Globorotalia tumida,418114,NA
Globorotalia tumida tumida,418114,Globorotalia tumida,418114,NA
Globorotalia wilesi,925107,Globorotalia wilesi,925107,unaccepted
Globigerinoides rubescens,113454,Globoturborotalita rubescens,113454,original name not in WoRMS
Globorotalita rubescens,113454,Globoturborotalita rubescens,113454,original name not in WoRMS
Globoturborotalita rubescens pink,113454,Globoturborotalita rubescens,113454,NA
Globoturborotalita rubescens white,113454,Globoturborotalita rubescens,113454,NA
Neogloboquadrina pachyderma dextral,113474,Neogloboquadrina incompta,113474,NA
Globigerina pachyderma dextral,113474,Neogloboquadrina incompta,113474,original name indicates this taxon
Globoquadrina pachyderma dextral,113474,Neogloboquadrina incompta,113474,original name indicates this taxon
Neogloboquadrina incompta dextral,113474,Neogloboquadrina incompta,113474,NA
Neogloboquadrina pachyderma dextral and dutertrei integrade,113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina incompta, flux per year",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, area",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, box ratio",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, circularity ratio",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, elongation ratio",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, major axis",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, minor axis",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, perimeter",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, δ13C",113474,Neogloboquadrina incompta,113474,NA
"Neogloboquadrina pachyderma dextral, δ18O",113474,Neogloboquadrina incompta,113474,NA
Neogloboquadrina incompta sinistral,113458,Neogloboquadrina pachyderma,113458,for consistency as all pachyderma dextral are set to incompta
Neogloboquadrina pachyderma sinistral,113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, area",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, box ratio",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, circularity ratio",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, elongation ratio",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, flux per year",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, major axis",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, minor axis",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, perimeter",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, weight",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, δ13C",113458,Neogloboquadrina pachyderma,113458,NA
"Neogloboquadrina pachyderma sinistral, δ18O",113458,Neogloboquadrina pachyderma,113458,NA
Orbulina bilobata,113459,Orbulina bilobata,113459,unaccepted
Globigerina iota,1567956,Tenuitellita iota,1567956,original name not in WoRMS
Turborotalita iota,1567956,Tenuitellita iota,1567956,original name not in WoRMS
Trilobus sacculifer,1026286,Trilobatus sacculifer,1026286,original name not in WoRMS
Globigerinoides trilobus-quadrilobatus,1026286,Trilobatus sacculifer,1026286,original name not in WoRMS
Globorotalia sacculifer,1026286,Trilobatus sacculifer,1026286,original name not in WoRMS; most likely import error
Globorotalia trilobus,1026286,Trilobatus sacculifer,1026286,original name not in WoRMS; most likely import error
Trilobus trilobus,1027267,Trilobatus trilobus,1027267,original name not in WoRMS
Truncorotalia crassaformis,1322825,Truncorotalia crassaformis,1322825,unaccepted
Truncorotalia crassula,1030774,Truncorotalia crassula,1030774,unaccepted for extant species
Turborotalia humilis,828222,Turborotalia humilis,828222,unaccepted
Turborotalia inflata,1563286,Turborotalia inflata,1563286,unaccepted
Turborotalia quinqueloba dextral,828227,Turborotalia quinqueloba,828227,unaccepted
Turborotalia quinqueloba sinistral,828227,Turborotalia quinqueloba,828227,unaccepted
Turborotalia scitula,1563287,Turborotalia scitula,1563287,unaccepted
Tenuitellinata quinqueloba,113462,Turborotalita quinqueloba,113462,original name not in WoRMS
Turborotalita quinqueloba dextral,113462,Turborotalita quinqueloba,113462,NA
Turborotalita quinqueloba sinistral,113462,Turborotalita quinqueloba,113462,NA
Fungi,4,Fungi,NA,NA
Mollusca,51,Mollusca,NA,NA
Gastropoda,101,Gastropoda,NA,NA
"Gastropoda, juvenile",101,Gastropoda,NA,NA
Bivalvia,105,Bivalvia,NA,NA
Bivalvia fragments,105,Bivalvia,NA,NA
Nematoda,799,Nematoda,NA,NA
"Polychaeta, larvae",883,Polychaeta,NA,NA
Ostracoda,1078,Ostracoda,NA,NA
"Copepoda indeterminata, nauplii",1080,Copepoda,NA,NA
Calanoida indeterminata,1100,Calanoida,NA,NA
Cyclopoida indeterminata,1101,Cyclopoida,NA,NA
Tardigrada,1276,Tardigrada,NA,NA
"Foraminifera, planktic",1410,Foraminifera,NA,NA
"Foraminifera, planktic, biserial",1410,Foraminifera,NA,NA
"Foraminifera, planktic, intermediate dweller",1410,Foraminifera,NA,NA
"Foraminifera, planktic, surface dweller",1410,Foraminifera,NA,NA
"Foraminifera, planktic, thermocline",1410,Foraminifera,NA,NA
Echinodermata,1806,Echinodermata,NA,NA
Echinodermata fragments,1806,Echinodermata,NA,NA
Acoela indeterminata,2847,Acoela,NA,NA
Rotifera,14260,Rotifera,NA,NA
Heteropoda,14775,Heteropoda,NA,NA
Foraminifera,22528,Foraminiferida,NA,NA
Foraminifera indeterminata,22528,Foraminiferida,NA,NA
"Foraminifera, agglutinated, species indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic",22528,Foraminiferida,NA,NA
"Foraminifera, benthic agglutinated",22528,Foraminiferida,NA,NA
"Foraminifera, benthic agglutinated indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic calcareous",22528,Foraminiferida,NA,NA
"Foraminifera, benthic calcareous indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic calcareous marine",22528,Foraminiferida,NA,NA
"Foraminifera, benthic calcareous, flux",22528,Foraminiferida,NA,NA
"Foraminifera, benthic dead",22528,Foraminiferida,NA,NA
"Foraminifera, benthic hyaline",22528,Foraminiferida,NA,NA
"Foraminifera, benthic hyaline, indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic porcelaneous",22528,Foraminiferida,NA,NA
"Foraminifera, benthic porcelaneous indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic reworked",22528,Foraminiferida,NA,NA
"Foraminifera, benthic rotalidia indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, benthic δ13C",22528,Foraminiferida,NA,NA
"Foraminifera, benthic δ18O",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, abundance",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, flux",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, high productive group",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, meltwater group",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, other",22528,Foraminiferida,NA,NA
"Foraminifera, benthic, total",22528,Foraminiferida,NA,NA
"Foraminifera, benthic/planktic ratio",22528,Foraminiferida,NA,NA
"Foraminifera, embedded",22528,Foraminiferida,NA,NA
"Foraminifera, indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, linings",22528,Foraminiferida,NA,NA
"Foraminifera, per unit sediment mass",22528,Foraminiferida,NA,NA
"Foraminifera, planktic",22528,Foraminiferida,NA,NA
"Foraminifera, planktic abundance",22528,Foraminiferida,NA,NA
"Foraminifera, planktic abundance, normalized",22528,Foraminiferida,NA,NA
"Foraminifera, planktic dead",22528,Foraminiferida,NA,NA
"Foraminifera, planktic deep-dwelling species",22528,Foraminiferida,NA,NA
"Foraminifera, planktic dissolution-resistant",22528,Foraminiferida,NA,NA
"Foraminifera, planktic indeterminata",22528,Foraminiferida,NA,NA
"Foraminifera, planktic living",22528,Foraminiferida,NA,NA
"Foraminifera, planktic mixed-layer-dwelling species",22528,Foraminiferida,NA,NA
"Foraminifera, planktic preservation",22528,Foraminiferida,NA,NA
"Foraminifera, planktic reworked",22528,Foraminiferida,NA,NA
"Foraminifera, planktic shallow-dwelling species",22528,Foraminiferida,NA,NA
"Foraminifera, planktic δ13C",22528,Foraminiferida,NA,NA
"Foraminifera, planktic δ18O",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, arctic",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, cold species",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, Cretaceous",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, Eocene",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, equatorial-tropical",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, flux",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, flux per year",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, fragments",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, individuals per volume",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, mixed layer",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, moderately resistant",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, other",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, resistant",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, sensitive",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, size average",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, subarctic",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, subpolar",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, subtropical",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, temperate",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, thermocline",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, total",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, transitional",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, tropical",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, warm species",22528,Foraminiferida,NA,NA
"Foraminifera, planktic, whole test",22528,Foraminiferida,NA,NA
"Foraminifera, planktic/benthic ratio",22528,Foraminiferida,NA,NA
"Foraminifera, reworked",22528,Foraminiferida,NA,NA
Apherusa glacialis,102166,Apherusa glacialis,NA,NA
Fritillaria borealis,103375,Fritillaria borealis,NA,NA
Oikopleura labradoriensis,103413,Oikopleura (Vexillaria) labradoriensis,NA,NA
Oikopleura vanhoeffeni,103417,Oikopleura (Vexillaria) vanhoeffeni,NA,NA
Calanus spp.,104152,Calanus,NA,NA
Gaidius tenuispinus,104321,Gaidius tenuispinus,NA,NA
Calanus finmarchicus,104464,Calanus finmarchicus,NA,NA
Calanus hyperboreus,104467,Calanus hyperboreus,NA,NA
Microcalanus pygmaeus,104513,Microcalanus pygmaeus,NA,NA
Pseudocalanus elongatus,104515,Pseudocalanus elongatus,NA,NA
Paraeuchaeta glacialis,104560,Paraeuchaeta glacialis,NA,NA
Metridia longa,104632,Metridia longa,NA,NA
Scolecithricella minor,104811,Scolecithricella minor,NA,NA
Eukrohnia hamata,105416,Eukrohnia hamata,NA,NA
Sagitta elegans,105450,Sagitta elegans,NA,NA
Beroe cucumis,106358,Beroe cucumis,NA,NA
Mertensia ovum,106377,Mertensia ovum,NA,NA
Oithona cf. similis,106656,Oithona similis,NA,NA
Oithona similis,106656,Oithona similis,NA,NA
Amphidinium sp.,109473,Amphidinium,NA,NA
Polykrikos spp.,109485,Polykrikos,NA,NA
Gonyaulax sp.,109519,Gonyaulax,NA,NA
Protoperidinium complex,109553,Protoperidinium,NA,NA
Protoperidinium sp.,109553,Protoperidinium,NA,NA
Dinophysis acuminata,109603,Dinophysis acuminata,NA,NA
Dinophysis caudata,109612,Dinophysis caudata,NA,NA
Dinophysis hastata,109627,Dinophysis hastata,NA,NA
Dinophysis mitra,109635,Dinophysis mitra,NA,NA
Dinophysis tripos,109662,Dinophysis tripos,NA,NA
Gymnodinium catenatum,109784,Gymnodinium catenatum,NA,NA
Kofoidinium velleloides,109920,Kofoidinium velleloides,NA,NA
Pentapharsodinium dalei,109925,Pentapharsodinium dalei,NA,NA
Ceratium azoricum,109930,Ceratium azoricum,NA,NA
Ceratium buceros,109934,Ceratium buceros,NA,NA
Ceratium candelabrum,109935,Ceratium candelabrum,NA,NA
Ceratium contortum,109941,Ceratium contortum,NA,NA
Ceratium deflexum,109944,Ceratium deflexum,NA,NA
Ceratium extensum,109947,Ceratium extensum,NA,NA
Ceratium furca,109950,Ceratium furca,NA,NA
Ceratium fusus,109951,Ceratium fusus,NA,NA
Ceratium hexacanthum,109955,Ceratium hexacanthum,NA,NA
Ceratium inflatum,109958,Ceratium inflatum,NA,NA
Ceratium kofoidii,109961,Ceratium kofoidii,NA,NA
Ceratium massiliense,109968,Ceratium massiliense,NA,NA
Ceratium pentagonum,109972,Ceratium pentagonum,NA,NA
Ceratium ranipes,109975,Ceratium ranipes,NA,NA
Ceratium trichoceros,109981,Ceratium trichoceros,NA,NA
Ceratium tripos,109982,Ceratium tripos,NA,NA
Ceratium vultur,109983,Ceratium vultur,NA,NA
Ceratocorys horrida,109986,Ceratocorys horrida,NA,NA
Gonyaulax pacifica,110033,Gonyaulax pacifica,NA,NA
Gonyaulax polygramma,110035,Gonyaulax polygramma,NA,NA
Oxytoxum elegans,110094,Oxytoxum elegans,NA,NA
Podolampas bipes,110199,Podolampas bipes,NA,NA
Protoperidinium brochii,110211,Protoperidinium brochii,NA,NA
Protoperidinium conicum,110213,Protoperidinium conicum,NA,NA
Protoperidinium crassipes,110214,Protoperidinium crassipes,NA,NA
Protoperidinium depressum,110217,Protoperidinium depressum,NA,NA
Protoperidinium divergens,110219,Protoperidinium divergens,NA,NA
Protoperidinium grande,110222,Protoperidinium grande,NA,NA
Protoperidinium leonis,110229,Protoperidinium leonis,NA,NA
Protoperidinium monospinum,110235,Protoperidinium monospinum,NA,NA
Protoperidinium oceanicum,110240,Protoperidinium oceanicum,NA,NA
Protoperidinium pellucidum,110245,Protoperidinium pellucidum,NA,NA
Protoperidinium pentagonum,110247,Protoperidinium pentagonum,NA,NA
Protoperidinium quarnerense,110250,Protoperidinium quarnerense,NA,NA
Protoperidinium steinii,110257,Protoperidinium steinii,NA,NA
Protoperidinium tristylum,110263,Protoperidinium tristylum,NA,NA
Pyrophacus steinii,110267,Pyrophacus steinii,NA,NA
Thoracosphaera heimii,110277,Thoracosphaera heimii,NA,NA
Prorocentrum gracile,110300,Prorocentrum gracile,NA,NA
Prorocentrum micans,110303,Prorocentrum micans,NA,NA
Dissodium asymmetricum,110326,Dissodium asymmetricum,NA,NA
Pyrocystis fusiformis,110328,Pyrocystis fusiformis,NA,NA
Pyrocystis noctiluca,110332,Pyrocystis noctiluca,NA,NA
Miliolidae,111898,Miliolidae,NA,NA
Miliolidae sp.,111898,Miliolidae,NA,NA
Globigerinidae,111929,Globigerinidae,NA,NA
Lagenidae,111933,Lagenidae,NA,NA
Nodosariidae,111935,Nodosariidae,NA,NA
Textulariidae,111973,Textulariidae,NA,NA
Cornuspira sp.,112006,Cornuspira,NA,NA
Biloculina sp.,112013,Biloculina,NA,NA
Biloculinella sp.,112014,Biloculinella,NA,NA
Adelosina sp.,112021,Adelosina,NA,NA
Adelosina spp.,112021,Adelosina,NA,NA
Massilina sp.,112026,Massilina,NA,NA
Triloculina sp.,112027,Miliolina,NA,NA
Triloculina spp.,112027,Miliolina,NA,NA
Nummoloculina sp.,112030,Nummoloculina,NA,NA
Miliolinella sp.,112032,Pateoris,NA,NA
Miliolinella spp.,112032,Pateoris,NA,NA
Pyrulina sp.,112039,Pyrulina,NA,NA
Quinqueloculina sp.,112040,Quinqueloculina,NA,NA
Quinqueloculina spp.,112040,Quinqueloculina,NA,NA
Sigmoilina sp.,112042,Sigmoilina,NA,NA
Sigmoilopsis sp.,112044,Sigmoilopsis,NA,NA
Sigmoilopsis spp.,112044,Sigmoilopsis,NA,NA
Spiroloculina sp.,112046,Spiroloculina,NA,NA
Spiroloculina spp.,112046,Spiroloculina,NA,NA
Gypsina,112072,Gypsina,NA,NA
Sphaerogypsina sp.,112073,Sphaerogypsina,NA,NA
Osangularia sp.,112075,Osangularia,NA,NA
Osangularia spp.,112075,Osangularia,NA,NA
Rotalia sp.,112079,Rotalia,NA,NA
Amphistegina sp.,112080,Amphistegina,NA,NA
Anomalina sp.,112081,Anomalina,NA,NA
Cibicides sp.,112082,Cibicides,NA,NA
"Cibicides sp., δ18O",112082,Cibicides,NA,NA
Cibicides spp.,112082,Cibicides,NA,NA
Gyroidina sp.,112086,Gyroidina,NA,NA
Gyroidina spp.,112086,Gyroidina,NA,NA
Planulina sp.,112091,Planulina,NA,NA
Pseudoparrella sp.,112092,Pseudoparella,NA,NA
Asterigerinata sp.,112095,Asterigerinata,NA,NA
Cancris sp.,112098,Cancris,NA,NA
Cancris spp.,112098,Cancris,NA,NA
Valvulineria sp.,112100,Valvulineria,NA,NA
Valvulineria spp.,112100,Valvulineria,NA,NA
Bolivina spp.,112103,Brizalina,NA,NA
Brizalina sp.,112103,Brizalina,NA,NA
Orthomorphina sp.,112107,Orthomorphina,NA,NA
Stilostomella sp.,112108,Stilostomella,NA,NA
Stilostomella spp.,112108,Stilostomella,NA,NA
Bulimina sp.,112110,Bulimina,NA,NA
Bulimina spp.,112110,Bulimina,NA,NA
Globobulimina sp.,112112,Globobulimina,NA,NA
Globobulimina spp.,112112,Globobulimina,NA,NA
Pseudobolivina spp.,112115,Pseudobolivina,NA,NA
Stainforthia sp.,112117,Stainforthia,NA,NA
Cassidulinoides sp.,112121,Cassidulinoides,NA,NA
Ehrenbergina sp.,112122,Ehrenbergina,NA,NA
Globocassidulina sp.,112123,Globocassidulina,NA,NA
Globocassidulina spp.,112123,Globocassidulina,NA,NA
Islandiella sp.,112124,Islandiella,NA,NA
